date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:48:59	219/219	U--MCZ	200	updated ('OK')	text/plain	etag:W/%2264023d63-154%22	https://www.classcentral.com/robots.txt		(from )
20:49:00	665005/665005	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2005%20Mar%202023%2004:49:00%20GMT	https://www.classcentral.com/	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/index.html	(from )
20:49:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Mar%202023%2004:49:01%20GMT	http://schema.org/WebSite	D:/Miguel/Documents/Scrape/testv2/schema.org/WebSite.0.delayed	(from https://www.classcentral.com/)
20:49:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Mar%202023%2004:49:02%20GMT	http://twitter.com/classcentral	D:/Miguel/Documents/Scrape/testv2/twitter.com/classcentral.3.delayed	(from https://www.classcentral.com/)
20:49:01	9463/9463	U-----	200	untouched ('')	image/png	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	D:/Miguel/Documents/Scrape/testv2/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
20:49:01	179772/179772	U-----	200	untouched ('OK')	text/html	etag:%22HE3AwQ%22	https://schema.org/WebSite	D:/Miguel/Documents/Scrape/testv2/schema.org/WebSite.html	(from https://www.classcentral.com/)
20:49:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Mar%202023%2004:49:02%20GMT	http://www.linkedin.com/company/class-central	D:/Miguel/Documents/Scrape/testv2/www.linkedin.com/company/class-central.5.delayed	(from https://www.classcentral.com/)
20:49:02	172588/172588	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2005%20Mar%202023%2004:49:03%20GMT	https://twitter.com/classcentral	D:/Miguel/Documents/Scrape/testv2/twitter.com/classcentral.html	(from https://www.classcentral.com/)
20:49:02	1530/1530	---M--	999	error ('Request%20denied')	text/html	date:Sun,%2005%20Mar%202023%2004:49:03%20GMT	https://www.linkedin.com/company/class-central	D:/Miguel/Documents/Scrape/testv2/www.linkedin.com/company/class-central.6.delayed	(from https://www.classcentral.com/)
20:49:03	2206/2206	U-----	200	untouched ('')	image/png	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/apple-touch-icon.png	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
20:49:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Mar%202023%2004:49:03%20GMT	http://www.w3.org/2000/svg	D:/Miguel/Documents/Scrape/testv2/www.w3.org/2000/svg.2a.delayed	(from https://www.classcentral.com/)
