date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:46:04	12520/12520	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:31%20GMT	https://www.classcentral.com/subjects	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subjects.2f.delayed	(from https://www.classcentral.com/)
20:46:04	15280/15280	------	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
20:46:04	6868/6868	------	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
20:46:04	9684/9684	------	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
20:46:04	7376/7376	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:31%20GMT	https://www.classcentral.com/subject/cs	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/cs.30.delayed	(from https://www.classcentral.com/)
20:46:04	8444/8444	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
20:46:04	5804/5804	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
20:46:04	14960/14960	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
20:46:04	16112/16112	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
20:46:04	6816/6816	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
20:46:04	9696/9696	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
20:46:04	7244/7244	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek-ext.woff2	(from https://www.classcentral.com/)
20:46:04	8248/8248	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:32%20GMT	https://www.classcentral.com/subject/health	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/health.31.delayed	(from https://www.classcentral.com/)
20:46:04	5784/5784	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
20:46:04	15016/15016	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
20:46:04	15948/15948	------	200	untouched ('')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
20:46:04	6696/6696	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:32%20GMT	https://www.classcentral.com/subject/maths	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/maths.32.delayed	(from https://www.classcentral.com/)
20:46:04	9540/9540	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
20:46:04	7360/7360	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
20:46:04	8280/8280	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
20:46:04	5676/5676	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:32%20GMT	https://www.classcentral.com/subject/business	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/business.33.delayed	(from https://www.classcentral.com/)
20:46:04	14808/14808	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
20:46:04	15764/15764	------	200	untouched ('')	application/octet-stream	date:Thu,%2002%20Mar%202023%2017:52:18%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
20:46:04	990/990	------	200	untouched ('')	image/png	date:Thu,%2002%20Mar%202023%2018:00:47%20GMT	https://www.classcentral.com/images/fade-gradient.png	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
20:46:04	1503/1503	------	200	untouched ('OK')	text/html	etag:%225df-52e5b399c4ec0;5288c149e3b80	https://www.w3.org/2000/svg	D:/Miguel/Documents/Scrape/testv2/www.w3.org/2000/svg.html	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:32%20GMT	https://www.classcentral.com/subject/humanities	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/humanities.34.delayed	(from https://www.classcentral.com/)
20:46:04	50234/50234	------	200	untouched ('')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	D:/Miguel/Documents/Scrape/testv2/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
20:46:04	600979/600979	------	200	untouched ('OK')	text/html	date:Fri,%2003%20Mar%202023%2007:44:30%20GMT	https://www.classcentral.com/rankings	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
20:46:04	593765/593765	------	200	untouched ('OK')	text/html	date:Fri,%2003%20Mar%202023%2007:44:31%20GMT	https://www.classcentral.com/collections	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
20:46:04	247503/247503	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20Mar%202023%2004:46:05%20GMT	https://www.googletagmanager.com/gtag/js?id=G-C254RZPQ1X	D:/Miguel/Documents/Scrape/testv2/www.googletagmanager.com/gtag/jsc6b4	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:32%20GMT	https://www.classcentral.com/subject/engineering	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/engineering.35.delayed	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:33%20GMT	https://www.classcentral.com/subject/science	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/science.36.delayed	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:33%20GMT	https://www.classcentral.com/subject/education	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/education.37.delayed	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:33%20GMT	https://www.classcentral.com/subject/social-sciences	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/social-sciences.38.delayed	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:33%20GMT	https://www.classcentral.com/subject/art-and-design	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/art-and-design.39.delayed	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:34%20GMT	https://www.classcentral.com/subject/data-science	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/data-science.3a.delayed	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:34%20GMT	https://www.classcentral.com/subject/programming-and-software-development	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/programming-and-software-development.3b.delayed	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:34%20GMT	https://www.classcentral.com/subject/personal-development	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/personal-development.3c.delayed	(from https://www.classcentral.com/)
20:46:04	5379/5379	------	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2003%20Mar%202023%2007:44:34%20GMT	https://www.classcentral.com/subject/infosec	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/subject/infosec.3d.delayed	(from https://www.classcentral.com/)
20:46:04	378/378	------	302	error ('Found')	text/html	date:Fri,%2003%20Mar%202023%2007:44:41%20GMT	https://www.classcentral.com/new-online-courses	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/new-online-courses.4e.delayed	(from https://www.classcentral.com/)
20:46:05	3029401/3029401	------	200	untouched ('OK')	text/html	date:Fri,%2003%20Mar%202023%2007:44:35%20GMT	https://www.classcentral.com/universities	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/universities.html	(from https://www.classcentral.com/)
20:46:05	170640/170640	------	200	untouched ('OK')	text/html	date:Fri,%2003%20Mar%202023%2000:52:15%20GMT	https://www.classcentral.com/report/	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/report/index.html	(from https://www.classcentral.com/)
20:46:05	839007/839007	------	200	untouched ('OK')	text/html	date:Fri,%2003%20Mar%202023%2007:44:36%20GMT	https://www.classcentral.com/collection/top-free-online-courses	D:/Miguel/Documents/Scrape/testv2/www.classcentral.com/collection/top-free-online-courses.html	(from https://www.classcentral.com/)
